"watershed","leaf_dry_mass","stem_dry_mass"
"Reference",0.0453,0.03
"Reference",0.0476,0.0338
"Reference",0.0423,0.0248
"Reference",0.0397,0.0194
"Reference",0.0204,0.018
"Reference",0.0317,0.0246
"Reference",0.0382,0.0316
"Reference",0.0179,0.015
"Reference",0.0286,0.0291
"Reference",0.0125,0.0149
"Reference",0.0297,0.0175
"Reference",0.0442,0.0276
"Reference",0.0512,0.028
"Reference",0.0479,0.0197
"Reference",0.0588,0.0329
"Reference",0.0523,0.0299
"Reference",0.0326,0.0213
"Reference",0.0586,0.0278
"Reference",0.0576,0.0326
"Reference",0.0357,0.0304
"Reference",0.038,0.0277
"Reference",0.0247,0.0164
"Reference",0.0549,0.0309
"Reference",0.059,0.0307
"Reference",0.0304,0.026
"Reference",0.0246,0.0146
"Reference",0.0355,0.0213
"Reference",0.0196,0.0158
"Reference",0.025,0.0158
"Reference",0.0535,0.0335
"Reference",0.0327,0.0212
"Reference",0.0179,0.0111
"Reference",0.0277,0.0125
"Reference",0.026,0.015
"Reference",0.059,0.0437
"Reference",0.0516,0.0289
"Reference",0.0234,0.0241
"Reference",0.02,0.0154
"Reference",0.0729,0.0326
"Reference",0.029,0.0152
"Reference",0.0306,0.0225
"Reference",0.04,0.0185
"Reference",0.0598,0.0217
"Reference",0.0369,0.0205
"Reference",0.0573,0.0252
"Reference",0.0392,0.0174
"Reference",0.0601,0.0261
"Reference",0.0443,0.0225
"Reference",0.0484,0.0214
"Reference",0.0485,0.0239
"Reference",0.0398,0.0224
"Reference",0.0383,0.019
"Reference",0.387,0.0232
"Reference",0.0424,0.0217
"Reference",0.0589,0.0379
"Reference",0.0485,0.0226
"Reference",0.0341,0.0225
"Reference",0.0351,0.0243
"Reference",0.06,0.0358
"Reference",0.0303,0.0244
"Reference",0.0321,0.0206
"Reference",0.0444,0.0248
"Reference",0.0402,0.0223
"Reference",0.0381,0.018
"Reference",0.0239,0.0222
"Reference",0.0274,0.0253
"Reference",0.029,0.0293
"Reference",0.0478,0.0214
"Reference",0.0438,0.0184
"Reference",0.0281,0.0192
"Reference",0.0446,0.0205
"Reference",0.0636,0.0233
"Reference",0.0413,0.0321
"Reference",0.0328,0.0177
"Reference",0.0279,0.0206
"Reference",0.0165,0.0158
"Reference",0.0502,0.0254
"Reference",0.0203,0.0152
"Reference",0.0338,0.0225
"Reference",0.0389,0.0199
"Reference",0.0442,0.0193
"Reference",0.0443,0.0194
"Reference",0.0374,0.0268
"Reference",0.0332,0.0145
"Reference",0.0343,0.0265
"Reference",0.0259,0.012
"Reference",0.036,0.0269
"Reference",0.0435,0.0244
"Reference",0.0513,0.0366
"Reference",0.0474,0.0383
"Reference",0.0186,0.0176
"Reference",0.0437,0.0279
"Reference",0.0519,0.0176
"Reference",0.0329,0.018
"Reference",0.0318,0.0208
"Reference",0.0239,0.0179
"Reference",0.0535,0.02
"Reference",0.0449,0.0195
"Reference",0.0539,0.0364
"Reference",0.0432,0.0282
"Reference",0.0229,0.0176
"Reference",0.0243,0.0178
"Reference",0.0256,0.0197
"Reference",0.0493,0.0258
"Reference",0.0303,0.0234
"Reference",0.0117,0.0079
"Reference",0.0448,0.0268
"Reference",0.0415,0.0157
"Reference",0.0215,0.0163
"Reference",0.0378,0.0172
"Reference",0.0562,0.031
"Reference",0.0475,0.0224
"Reference",0.0308,0.0238
"Reference",0.0301,0.018
"Reference",0.0212,0.0183
"Reference",0.0218,0.0118
"Reference",0.052,0.0288
"Reference",0.0413,0.0285
"Reference",0.0483,0.0161
"Reference",0.0275,0.0184
"W1",0.0936,0.0471
"W1",0.0756,0.0362
"W1",0.0934,0.038
"W1",0.0581,0.0263
"W1",0.0666,0.0422
"W1",0.0667,0.0397
"W1",0.0602,0.0405
"W1",0.0463,0.0247
"W1",0.0958,0.0437
"W1",0.0703,0.0342
"W1",0.0733,0.0405
"W1",0.072,0.0305
"W1",0.073,0.0296
"W1",0.0597,0.0223
"W1",0.0393,0.0213
"W1",0.0514,0.0207
"W1",0.0698,0.0279
"W1",0.0631,0.0377
"W1",0.0547,0.0296
"W1",0.0552,0.021
"W1",0.0662,0.047
"W1",0.0664,0.0357
"W1",0.0598,0.0402
"W1",0.0499,0.032
"W1",0.0741,0.0318
"W1",0.0883,0.0351
"W1",0.0706,0.0281
"W1",0.0604,0.0257
"W1",0.0509,0.0363
"W1",0.0425,0.043
"W1",0.0617,0.028
"W1",0.068,0.0367
"W1",0.0286,0.0259
"W1",0.03,0.0221
"W1",0.0643,0.035
"W1",0.086,0.0378
"W1",0.0746,0.0351
"W1",0.0698,0.0334
"W1",0.0471,0.0218
"W1",0.039,0.0211
"W1",0.0799,0.0366
"W1",0.0727,0.0355
"W1",0.072,0.045
"W1",0.046,0.0239
"W1",0.0501,0.0298
"W1",0.0844,0.0366
"W1",0.0835,0.047
"W1",0.0673,0.033
"W1",0.0556,0.033
"W1",0.0585,0.0346
"W1",0.0505,0.0276
"W1",0.0381,0.0284
"W1",0.043,0.0269
"W1",0.0381,0.0332
"W1",0.13,0.0674
"W1",0.1262,0.0889
"W1",0.0613,0.0377
"W1",0.0768,0.0396
"W1",0.1078,0.0631
"W1",0.1062,0.0468
"W1",0.0711,0.0356
"W1",0.0626,0.0282
"W1",0.0612,0.0308
"W1",0.0521,0.0272
"W1",0.0769,0.0416
"W1",0.0665,0.031
"W1",0.0903,0.0429
"W1",0.1025,0.0363
"W1",0.0958,0.0436
"W1",0.0633,0.0307
"W1",0.0655,0.0359
"W1",0.0462,0.0173
"W1",0.0719,0.0579
"W1",0.0595,0.0314
"W1",0.0891,0.0467
"W1",0.0767,0.0356
"W1",0.1337,0.0516
"W1",0.061,0.021
"W1",0.0951,0.0492
"W1",0.0598,0.0323
"W1",0.0627,0.0326
"W1",0.0711,0.031
"W1",0.0372,0.0226
"W1",0.033,0.0225
"W1",0.0503,0.0392
"W1",0.0657,0.0353
"W1",0.0316,0.0221
"W1",0.0412,0.0282
"W1",0.0417,0.0288
"W1",0.05,0.033
"W1",0.0892,0.0389
"W1",0.0522,0.0231
"W1",0.0615,0.0272
"W1",0.0389,0.0211
"W1",0.0466,0.0316
"W1",0.0458,0.0345
"W1",0.0422,0.0208
"W1",0.0544,0.027
"W1",0.0607,0.0417
"W1",0.0694,0.0456
"W1",0.0441,0.0261
"W1",0.0457,0.0257
"W1",0.0326,0.0116
"W1",0.0764,0.0346
"W1",0.0536,0.0387
"W1",0.0341,0.036
"W1",0.0431,0.0239
"W1",0.0313,0.0187
"W1",0.0252,0.018
"W1",0.044,0.0273
"W1",0.0571,0.0321
"W1",0.0331,0.0239
"W1",0.06,0.0295
"W1",0.0559,0.0191
"W1",0.0424,0.036
"W1",0.0465,0.0344
"W1",0.0442,0.024
"W1",0.0516,0.0286
"W1",0.0385,0.0253
"W1",0.0509,0.0256
"Reference",0.0617,0.044
"Reference",0.0318,0.0367
"Reference",0.0927,0.0841
"Reference",0.0494,0.0406
"Reference",0.0321,0.0347
"Reference",0.0449,0.0539
"Reference",0.0567,0.0493
"Reference",0.063,0.0829
"Reference",0.075,0.0666
"Reference",0.0739,0.0717
"Reference",0.0394,0.0481
"Reference",0.0817,0.0612
"Reference",0.0378,0.0406
"Reference",0.0404,0.0344
"Reference",0.087,0.0708
"Reference",0.0527,0.0331
"Reference",0.054,0.0524
"Reference",0.0566,0.0622
"Reference",0.0464,0.0501
"Reference",0.0344,0.0324
"Reference",0.1108,0.1051
"Reference",0.1046,0.0936
"Reference",0.0305,0.0381
"Reference",0.0656,0.0599
"Reference",0.0559,0.0516
"Reference",0.0495,0.0483
"Reference",0.0655,0.0668
"Reference",0.0678,0.0626
"Reference",0.0864,0.1008
"Reference",0.1027,0.1048
"Reference",0.0612,0.0727
"Reference",0.0517,0.0534
"Reference",0.0766,0.0585
"Reference",0.1151,0.0938
"Reference",0.0745,0.0605
"Reference",0.0549,0.0566
"Reference",0.056,0.056
"Reference",0.0924,0.067
"Reference",0.0904,0.085
"Reference",0.0865,0.0989
"Reference",0.0909,0.0751
"Reference",0.0592,0.0686
"Reference",0.0823,0.0924
"Reference",0.062,0.0844
"Reference",0.0422,0.0518
"Reference",0.1007,0.1054
"Reference",0.0749,0.0467
"Reference",0.0339,0.0329
"Reference",0.0647,0.0633
"Reference",0.0897,0.0896
"Reference",0.0239,0.0384
"Reference",0.0708,0.0666
"Reference",0.0812,0.0767
"Reference",0.0422,0.0455
"Reference",0.0651,0.0544
"Reference",0.0366,0.0438
"Reference",0.0978,0.128
"Reference",0.1037,0.0906
"Reference",0.0698,0.0999
"W1",0.1039,0.0778
"W1",0.1068,0.1042
"W1",0.1339,0.1052
"W1",0.0928,0.1138
"W1",0.0995,0.0697
"W1",0.1247,0.0929
"W1",0.0929,0.0903
"W1",0.0643,0.061
"W1",0.0988,0.092
"W1",0.1032,0.091
"W1",0.1039,0.0751
"W1",0.1484,0.1211
"W1",0.0311,0.0782
"W1",0.1025,0.0917
"W1",0.1375,0.1016
"W1",0.1271,0.1079
"W1",0.095,0.0836
"W1",0.0966,0.0966
"W1",0.1315,0.1119
"W1",0.089,0.0795
"W1",0.092,0.0616
"W1",0.2001,0.15
"W1",0.109,0.1
"W1",0.0829,0.0865
"W1",0.1267,0.0913
"W1",0.0859,0.0863
"W1",0.1817,0.1338
"W1",0.1291,0.1099
"W1",0.1151,0.0894
"W1",0.1229,0.1079
"W1",0.1162,0.0683
"W1",0.0733,0.0704
"W1",0.06,0.0464
"W1",0.1085,0.1113
"W1",0.1208,0.0851
"W1",0.1381,0.1236
"W1",0.0805,0.0505
"W1",0.0963,0.0525
"W1",0.1049,0.109
"W1",0.1509,0.1157
"W1",0.1231,0.086
"W1",0.0988,0.0851
"W1",0.1311,0.0975
"W1",0.1408,0.1249
"W1",0.1381,0.1353
"W1",0.0827,0.0565
"W1",0.1428,0.0838
"W1",0.1148,0.1008
"W1",0.1699,0.1488
"W1",0.1348,0.1109
"W1",0.123,0.1164
"W1",0.1043,0.0931
"W1",0.1322,0.1087
"W1",0.0507,0.0893
"W1",0.1133,0.0997
"W1",0.0772,0.0822
"W1",0.073,0.0561
"W1",0.0927,0.0709
"W1",0.0909,0.1052
"W1",0.0405,0.0577
